Spotify-Song,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,y
https://open.spotify.com/track/7t6NlBZL2MmNjcF70Xl71G,0.75,0.382,8,-8.466,0.0312,0.29,0.298,0.279,97.226,0.454,1
https://open.spotify.com/track/6btBxRX5cmgzNw2uCNUU2K,0.366,0.91,2,-6.157,0.0415,0.00119,0.834,0.101,92.94,0.322,1
https://open.spotify.com/track/5aJI7OzC1n3XKVLgYAxgwj,0.672,0.858,3,-5.233,0.145,0.456,0.811,0.104,166.689,0.963,-1
https://open.spotify.com/track/1nPsdHEbHobjwNwIlFX9NF,0.808,0.728,10,-5.811,0.0671,0.19,0.0502,0.114,94.932,0.696,-1
https://open.spotify.com/track/3seoFkiuUwCVrjnPpp4jRb,0.711,0.58,8,-12.792,0.0347,0.531,0.747,0.0718,102.284,0.65,1
https://open.spotify.com/track/3HgPOHHJWnMfv1Zw27Jh2V,0.542,0.869,0,-6.18,0.0954,0.225,0.891,0.0453,190.509,0.962,1
https://open.spotify.com/track/0kJg1vDAXOvuPUe4bLii7F,0.69,0.775,5,-5.116,0.0306,0.119,0.000533,0.125,93.241,0.962,-1
https://open.spotify.com/track/6YPwVMy9U1zFC1KjkyP61j,0.678,0.905,7,-5.526,0.0784,0.0568,0.0239,0.24,90.092,0.898,-1
https://open.spotify.com/track/18OzYEBhFuusiRbvkhf6Zl,0.615,0.76,10,-8.393,0.0317,0.0186,0.053,0.0825,90.847,0.902,-1
https://open.spotify.com/track/2oWex6rYoQ7Bl2D9zG8d3F,0.641,0.926,10,-7.718,0.0572,0.11,0.0246,0.09,90.934,0.883,-1
https://open.spotify.com/track/3KOI1535qPUzLopqDQkOQB,0.736,0.904,5,-2.893,0.0329,0.00651,0.875,0.0599,99.222,0.887,-1
https://open.spotify.com/track/6HrYi2gwKxrwEtZX3Orype,0.751,0.735,5,-6.358,0.0775,0.0626,3.05E-05,0.052,163.852,0.721,-1
https://open.spotify.com/track/2ivvbyg7WLOmHaQQEM1ClJ,0.751,0.494,1,-7.673,0.27,0.0508,0.00151,0.283,86.481,0.552,1
https://open.spotify.com/track/0fxjsll9jmmRgMFbwdp4Xg,0.839,0.233,3,-13.539,0.0413,0.745,0.747,0.105,125.597,0.777,1
https://open.spotify.com/track/3bMQUvGEAib8rYvKWWKu9m,0.595,0.765,6,-8.626,0.0574,0.056,0.851,0.169,149.58,0.736,-1
https://open.spotify.com/track/58TRjjLEDZWzOTXsw0SLAx,0.575,0.787,11,-9.439,0.0441,0.0298,0.893,0.121,101.096,0.836,1
https://open.spotify.com/track/59vZs9bJrEpBQHuK1M3tmS,0.565,0.621,7,-5.62,0.0264,0.00773,0.0324,0.257,150.036,0.403,1
https://open.spotify.com/track/7DFA3k0QQtvAkItuNAwKh4,0.588,0.576,6,-6.945,0.0367,0.218,0.0357,0.172,129.155,0.66,-1
https://open.spotify.com/track/3mNtJ94LS5gTrclSCE9w9r,0.761,0.626,5,-12.634,0.0421,0.0172,0.634,0.0879,124.024,0.715,1
https://open.spotify.com/track/6DBqULxLjq66GX2dim7opR,0.681,0.838,0,-6.538,0.0797,0.0874,0.49,0.348,112.608,0.456,1
https://open.spotify.com/track/2EdcEOJf2V8xMOTO7q2gCN,0.741,0.896,0,-7.208,0.0502,0.135,0.461,0.12,102.453,0.871,1
https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,0.0747,0.00121,0,0.0995,148.033,0.236,1
https://open.spotify.com/track/0cQVqPuHQP4KEwc7ZUQmj6,0.613,0.808,10,-2.851,0.0346,0.0426,0.0159,0.102,124.037,0.38,1
https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,0.0719,0.00076,0.0049,0.361,122.961,0.172,1
https://open.spotify.com/track/0KzAbK6nItSqNh8q70tb0K,0.513,0.442,4,-13.529,0.0343,0.00731,0.000838,0.0878,81.201,0.243,1
https://open.spotify.com/track/5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0.0458,0.257,7.52E-06,0.0589,126.975,0.716,-1
https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,0.705,0.712,6,-6.156,0.0385,0.0102,0.000855,0.1,97.512,0.62,1
https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,0.0372,0.0097,0.000133,0.129,91.844,0.104,1
https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,11,-5.881,0.032,0.0395,0,0.0861,104.019,0.776,1
https://open.spotify.com/track/5cKhVlFn0Kuq68V56lSLvW,0.526,0.862,2,-6.003,0.0905,0.0144,0.0597,0.229,90.052,0.528,1
https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10,-4.851,0.0836,9.04E-05,0.000674,0.101,138.081,0.689,-1
https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,0.0439,0.00847,0,0.161,112.96,0.371,1
https://open.spotify.com/track/1sTsuZTdANkiFd7T34H3nb,0.557,0.8,10,-8.477,0.0601,0.00132,0.0012,0.0906,135.47,0.582,1
https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,123.596,0.278,-1
https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4,-8.821,0.0377,0.000409,0.00051,0.136,104.561,0.527,-1
https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,0.592,0.767,9,-2.788,0.027,0.0021,0.00165,0.127,96.483,0.328,-1
https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,128.038,0.619,1
https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0.0295,0.179,1.20E-06,0.0987,125.639,0.803,-1
https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0.0367,5.99E-05,0.000308,0.0805,158.066,0.364,-1
https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od,0.632,0.856,10,-3.463,0.0348,0.0624,0,0.347,119.397,0.867,1
https://open.spotify.com/track/1bCmvezFg5MRcENzCGG1Cy,0.511,0.815,7,-3.14,0.144,0.0491,0,0.0826,154.514,0.586,1
https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,84.581,0.458,1
https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,0.0351,0.0709,0.285,0.348,103.04,0.561,1
https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,0.458,0.795,0,-3.265,0.0574,0.00316,0.000202,0.0756,123.229,0.513,1
https://open.spotify.com/track/7wCmS9TTVUcIhRalDYFgPy,0.519,0.441,4,-14.178,0.0353,0.0204,0.000453,0.076,81.334,0.25,1
https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,0.112,0.000152,0.0484,0.28,130.433,0.321,1
https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11,-3.674,0.0499,0.116,1.75E-05,0.119,104.655,0.599,1
https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0.03,0.0484,0.000417,0.286,93.986,0.37,-1
https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,154.961,0.725,1
https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW,0.774,0.75,11,-4.927,0.0412,0.00207,1.78E-05,0.0808,118.015,0.927,-1
https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,0.466,0.833,7,-4.215,0.304,0.0266,0,0.0327,88.785,0.661,1
https://open.spotify.com/track/1G391cbiT3v3Cywg8T7DM1,0.595,0.717,0,-4.803,0.0295,0.0779,0.00274,0.108,88.969,0.547,1
https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,85.012,0.337,1
https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,0.0456,0.0179,0,0.167,91.455,0.875,1
https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,0.0431,0.000917,0,0.028,172.984,0.365,1
https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,0.0479,0.0335,0,0.406,171.176,0.518,1
https://open.spotify.com/track/0uBdQzKghx88d2Lp8SLFKJ,0.668,0.902,2,-3.924,0.0386,0.169,8.74E-05,0.198,119.008,0.913,1
https://open.spotify.com/track/2fAIfPLrPUTW1AmJRR428Q,0.451,0.939,5,-2.82,0.0512,0.00673,4.85E-06,0.0774,93.416,0.448,-1
https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB,0.255,0.393,5,-10.654,0.0278,0.0577,0.00361,0.113,76.426,0.118,1
https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,4,-5.213,0.0287,0.0941,1.27E-05,0.0898,121.079,0.665,1
https://open.spotify.com/track/1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,8,-6.903,0.0676,0.00178,0.00708,0.0753,129.802,0.918,1
https://open.spotify.com/track/1fDFHXcykq4iw8Gg7s5hG9,0.416,0.762,2,-7.385,0.0279,0.312,0.804,0.0559,95.967,0.461,1
https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,0.0363,0.183,3.06E-06,0.285,141.621,0.726,1
https://open.spotify.com/track/2fXKyAyPrEa24c6PJyqznF,0.314,0.797,0,-9.026,0.038,0.0057,5.59E-05,0.0718,145.393,0.569,1
https://open.spotify.com/track/2Y6uY65ZwKl9WbVOvKyZg6,0.555,0.93,7,-3.641,0.0377,0.0484,4.28E-06,0.0898,138.013,0.782,1
https://open.spotify.com/track/14dJexYlvd3t3XAtD1pYW1,0.646,0.85,2,-5.466,0.0428,0.363,4.01E-05,0.0994,96.538,0.819,1
https://open.spotify.com/track/12g9IeQzX7xECLNxz8dpb5,0.668,0.902,2,-3.924,0.0386,0.169,8.74E-05,0.198,119.008,0.913,1
https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK,0.42,0.33,9,-13.925,0.0275,0.245,0.000679,0.0677,157.143,0.175,1
